Ep: 0 | ep_r: 11.6
Ep: 1 | ep_r: 31.2
Ep: 2 | ep_r: 41.9
Ep: 3 | ep_r: 39.0
Ep: 4 | ep_r: 40.1
Ep: 5 | ep_r: 39.3
Ep: 6 | ep_r: 42.9
Ep: 7 | ep_r: 38.9
Ep: 8 | ep_r: 42.5
Ep: 9 | ep_r: 39.6
Ep: 10 | ep_r: 43.1
Ep: 11 | ep_r: 39.9
Ep: 12 | ep_r: 42.0
Ep: 13 | ep_r: 38.8
Ep: 14 | ep_r: 42.9
Ep: 15 | ep_r: 39.6
Ep: 16 | ep_r: 43.3
Ep: 17 | ep_r: 38.8
Ep: 18 | ep_r: 43.2
Ep: 19 | ep_r: 39.3
Ep: 20 | ep_r: 38.9
Ep: 21 | ep_r: 38.2
Ep: 22 | ep_r: 39.0
Ep: 23 | ep_r: 37.3
Ep: 24 | ep_r: 39.2
Ep: 25 | ep_r: 37.5
Ep: 26 | ep_r: 39.2
Ep: 27 | ep_r: 37.7
Ep: 28 | ep_r: 39.4
Ep: 29 | ep_r: 37.7
Ep: 30 | ep_r: 39.4
Ep: 31 | ep_r: 37.8
Ep: 32 | ep_r: 39.6
Ep: 33 | ep_r: 37.7
Ep: 34 | ep_r: 39.6
Ep: 35 | ep_r: 37.7
Ep: 36 | ep_r: 39.6
Ep: 37 | ep_r: 37.7
Ep: 38 | ep_r: 39.8
Ep: 39 | ep_r: 37.7
Ep: 40 | ep_r: 39.8
Ep: 41 | ep_r: 37.8
Ep: 42 | ep_r: 39.8
Ep: 43 | ep_r: 37.7
Ep: 44 | ep_r: 39.8
Ep: 45 | ep_r: 37.7
Ep: 46 | ep_r: 39.8
Ep: 47 | ep_r: 37.7
Ep: 48 | ep_r: 39.9
Ep: 49 | ep_r: 37.7
Ep: 50 | ep_r: 39.9
Ep: 51 | ep_r: 37.7
Ep: 52 | ep_r: 39.9
Ep: 53 | ep_r: 37.7
Ep: 54 | ep_r: 40.0
Ep: 55 | ep_r: 37.7
Ep: 56 | ep_r: 40.0
Ep: 57 | ep_r: 37.8
Ep: 58 | ep_r: 40.0
Ep: 59 | ep_r: 37.8
Ep: 60 | ep_r: 40.0
Ep: 61 | ep_r: 37.7
Ep: 62 | ep_r: 39.9
Ep: 63 | ep_r: 37.7
Ep: 64 | ep_r: 39.9
Ep: 65 | ep_r: 37.7
Ep: 66 | ep_r: 39.8
Ep: 67 | ep_r: 37.6
Ep: 68 | ep_r: 39.8
Ep: 69 | ep_r: 37.7
Ep: 70 | ep_r: 40.0
Ep: 71 | ep_r: 37.8
Ep: 72 | ep_r: 40.0
Ep: 73 | ep_r: 37.8
Ep: 74 | ep_r: 39.7
Ep: 75 | ep_r: 37.6
Ep: 76 | ep_r: 39.6
Ep: 77 | ep_r: 37.6
Ep: 78 | ep_r: 39.5
Ep: 79 | ep_r: 37.6
Ep: 80 | ep_r: 39.5
Ep: 81 | ep_r: 37.6
Ep: 82 | ep_r: 39.4
Ep: 83 | ep_r: 37.6
Ep: 84 | ep_r: 39.4
Ep: 85 | ep_r: 37.6
Ep: 86 | ep_r: 39.4
Ep: 87 | ep_r: 37.6
Ep: 88 | ep_r: 39.3
Ep: 89 | ep_r: 37.6
Ep: 90 | ep_r: 39.3
Ep: 91 | ep_r: 37.6
Ep: 92 | ep_r: 39.3
Ep: 93 | ep_r: 37.6
Ep: 94 | ep_r: 39.2
Ep: 95 | ep_r: 37.6
Ep: 96 | ep_r: 39.2
Ep: 97 | ep_r: 37.6
Ep: 98 | ep_r: 39.2
Ep: 99 | ep_r: 37.6
